run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
2,2026-05-19 01:31:22,ft06,a2c,19,69,217,0.4758
2,2026-05-19 01:31:22,ft06,a2c,20,70,223,0.469
2,2026-05-19 01:31:22,ft06,a2c,21,75,253,0.4378
2,2026-05-19 01:31:22,ft06,a2c,22,84,307,0.3909
2,2026-05-19 01:31:22,ft06,a2c,23,82,295,0.4004
2,2026-05-19 01:31:22,ft06,a2c,24,77,265,0.4264
2,2026-05-19 01:31:22,ft06,a2c,25,85,313,0.3863
2,2026-05-19 01:31:22,ft06,a2c,26,81,289,0.4053
2,2026-05-19 01:31:22,ft06,a2c,27,83,301,0.3956
2,2026-05-19 01:31:22,ft06,a2c,28,92,355,0.3569
2,2026-05-19 01:31:22,ft06,a2c,29,79,277,0.4156
2,2026-05-19 01:31:22,ft06,a2c,30,89,337,0.3689
2,2026-05-19 01:31:22,ft06,a2c_greedy,1,68,211,0.4828
2,2026-05-19 01:31:22,ft06,lpt,1,129,577,0.2545
2,2026-05-19 01:31:22,ft06,fifo,1,152,715,0.216
2,2026-05-19 01:31:22,ft06,edd,1,101,409,0.3251
2,2026-05-19 01:31:22,ft06,spt,1,109,457,0.3012
2,2026-05-19 01:31:22,ft06,random,1,93,361,0.353
2,2026-05-19 01:31:22,ft06,random,2,92,355,0.3569
2,2026-05-19 01:31:22,ft06,random,3,107,445,0.3069
2,2026-05-19 01:31:22,ft06,random,4,101,409,0.3251
2,2026-05-19 01:31:22,ft06,random,5,84,307,0.3909
2,2026-05-19 01:31:22,ft06,random,6,127,565,0.2585
2,2026-05-19 01:31:22,ft06,random,7,104,427,0.3157
2,2026-05-19 01:31:22,ft06,random,8,111,469,0.2958
2,2026-05-19 01:31:22,ft06,random,9,118,511,0.2782
2,2026-05-19 01:31:22,ft06,random,10,108,451,0.304
2,2026-05-19 01:31:22,ft06,random,11,70,223,0.469
2,2026-05-19 01:31:22,ft06,random,12,102,415,0.3219
2,2026-05-19 01:31:22,ft06,random,13,118,511,0.2782
2,2026-05-19 01:31:22,ft06,random,14,92,355,0.3569
2,2026-05-19 01:31:22,ft06,random,15,112,475,0.2932
