run_id,trained_at,instance,n_episodes,episode,reward,makespan,avg_reward_100,critic_loss,entropy,entropy_coef,best_makespan,is_best,rolling_eval_ms
1,2026-05-19 23:14:31,ft10,6000,1,-5221.4773,1869,-5221.4773,116587.479695,2.035538,0.049983,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,2,-5219.8503,1967,-5220.6638,134145.409358,1.981167,0.049966,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,3,-4609.5744,1827,-5016.9673,97144.241608,1.968382,0.04995,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,4,-7153.9977,2183,-5551.2249,254635.417117,2.006073,0.049933,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,5,-5393.359,2029,-5519.6517,139062.304835,1.965045,0.049916,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,6,-4558.4711,1677,-5359.455,105734.528482,2.057269,0.0499,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,7,-3803.2715,1619,-5137.143,62462.890444,2.051748,0.049883,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,8,-5178.6011,1938,-5142.3253,126494.395029,2.030674,0.049866,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,9,-5943.4429,1978,-5231.3384,158579.351013,2.00207,0.049849,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,10,-4988.2481,1955,-5207.0293,120603.457466,2.121613,0.049833,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,11,-5870.2926,2085,-5267.326,154558.804511,2.108308,0.049816,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,12,-5604.5612,1878,-5295.4289,149338.10349,1.993427,0.049799,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,13,-4382.6536,1888,-5225.2154,84941.882734,2.04248,0.049783,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,14,-4763.6115,1781,-5192.2437,99305.952867,2.087281,0.049766,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,15,-4718.9593,1720,-5160.6914,115365.754573,2.141724,0.049749,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,16,-4174.6556,1693,-5099.0642,84454.652831,2.066381,0.049732,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,17,-4750.5055,1820,-5078.5607,98897.382725,1.992951,0.049716,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,18,-3993.4342,1764,-5018.2759,84411.583072,2.098967,0.049699,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,19,-4828.8358,1803,-5008.3054,107292.884738,2.115714,0.049682,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,20,-4234.4943,1679,-4969.6149,93319.201869,2.069527,0.049666,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,21,-4004.5638,1685,-4923.66,68243.113745,1.999718,0.049649,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,22,-4914.1218,1782,-4923.2265,129283.843646,2.093725,0.049633,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,23,-5305.6628,1889,-4939.8541,134463.845852,2.008351,0.049616,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,24,-4844.5798,1880,-4935.8844,99583.202377,2.064045,0.049599,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,25,-5264.0924,1937,-4949.0127,118482.007539,1.983756,0.049583,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,26,-4366.9361,1674,-4926.6251,81196.314473,1.981851,0.049566,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,27,-5206.3749,2031,-4936.9862,117655.222036,2.054115,0.049549,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,28,-3866.3421,1666,-4898.749,72133.092647,2.126329,0.049533,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,29,-4068.9237,1763,-4870.1343,71720.931337,2.058585,0.049516,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,30,-3628.7815,1474,-4828.7559,63664.000035,2.061876,0.0495,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,31,-5919.2034,2141,-4863.9316,157076.61747,2.014541,0.049483,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,32,-3745.9817,1636,-4828.9957,74269.060904,2.130788,0.049466,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,33,-6126.875,2096,-4868.3253,173807.279034,2.113506,0.04945,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,34,-4635.2853,1798,-4861.4712,99631.152657,2.143641,0.049433,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,35,-5296.2086,1894,-4873.8923,129658.310888,2.06389,0.049417,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,36,-5703.551,1991,-4896.9384,165192.061719,2.012812,0.0494,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,37,-6347.9639,2108,-4936.1553,218019.827465,2.087001,0.049384,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,38,-5668.8601,2094,-4955.437,148295.851129,1.980486,0.049367,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,39,-5181.9853,2045,-4961.2459,121032.749976,2.088348,0.04935,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,40,-4738.3815,1759,-4955.6743,109765.054882,2.041162,0.049334,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,41,-4508.0255,1726,-4944.756,92282.277566,2.006566,0.049317,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,42,-3953.4799,1596,-4921.1542,72071.055741,2.055493,0.049301,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,43,-4822.9132,1762,-4918.8695,101893.652352,1.974287,0.049284,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,44,-5087.883,1859,-4922.7108,141755.426395,2.080005,0.049268,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,45,-5733.9145,2036,-4940.7375,154876.962955,1.988671,0.049251,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,46,-4225.1937,1789,-4925.1822,81896.572566,2.05729,0.049235,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,47,-4810.672,1837,-4922.7458,116235.701219,2.031518,0.049218,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,48,-6384.8899,2098,-4953.2072,221029.424184,2.050195,0.049202,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,49,-5384.5705,1879,-4962.0105,133127.497449,1.967908,0.049185,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,50,-4487.8459,1804,-4952.5272,108826.488165,2.070662,0.049169,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,51,-5804.5344,1989,-4969.2332,149993.996393,2.038074,0.049152,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,52,-5613.4429,1978,-4981.6219,144569.2744,2.016096,0.049136,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,53,-5896.7548,2080,-4998.8885,158585.212992,2.001569,0.049119,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,54,-5163.1533,1944,-5001.9305,113894.618833,2.019911,0.049103,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,55,-4407.0255,1726,-4991.114,91712.154496,2.011002,0.049086,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,56,-4671.4572,1634,-4985.4059,104644.199447,2.030469,0.04907,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,57,-6183.2775,2083,-5006.4211,177663.87187,2.045622,0.049053,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,58,-4124.7039,1790,-4991.2191,86799.225532,2.084418,0.049037,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,59,-5143.7359,1897,-4993.8042,139764.964455,2.062886,0.049021,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,60,-5555.0612,1878,-5003.1584,178591.692549,2.031192,0.049004,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,61,-4899.2039,1790,-5001.4543,104816.747416,2.064929,0.048988,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,62,-4193.2126,1698,-4988.4181,72482.626986,1.961737,0.048971,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,63,-5113.3815,1759,-4990.4017,117948.472737,2.081993,0.048955,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,64,-4479.6629,1786,-4982.4214,97534.171441,2.087036,0.048938,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,65,-5395.3351,2026,-4988.7739,142942.821674,2.066938,0.048922,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,66,-4693.0646,1826,-4984.2934,107029.813243,2.065413,0.048906,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,67,-6127.2034,2141,-5001.3518,162084.381427,1.915341,0.048889,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,68,-6269.9618,2042,-5020.0078,174294.35926,2.025296,0.048873,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,69,-6054.3803,1913,-5034.9987,164865.085196,1.998281,0.048856,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,70,-5487.6793,1947,-5041.4656,136070.663352,1.980136,0.04884,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,71,-5653.8987,2034,-5050.0914,141451.83773,2.005607,0.048824,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,72,-5043.3257,1802,-5049.9975,125213.165604,2.002095,0.048807,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,73,-5751.8301,2090,-5059.6116,151629.347387,2.014812,0.048791,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,74,-6194.9055,2244,-5074.9534,170067.393801,2.012754,0.048775,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,75,-4921.6429,1834,-5072.9093,108432.373121,2.001427,0.048758,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,76,-4040.5246,1525,-5059.3253,79013.596351,2.086678,0.048742,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,77,-5706.7722,1901,-5067.7337,143395.536257,1.969773,0.048726,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,78,-4595.8069,1851,-5061.6833,94150.510157,2.038005,0.048709,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,79,-4574.0548,1825,-5055.5108,102874.455083,2.087567,0.048693,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,80,-6132.359,2163,-5068.9714,181969.6684,2.058104,0.048677,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,81,-6890.8533,2236,-5091.4638,232581.17927,1.998446,0.04866,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,82,-5842.2388,2014,-5100.6196,163944.469177,1.953892,0.048644,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,83,-5254.3713,1912,-5102.472,110006.364924,2.00715,0.048628,inf,0,-1
1,2026-05-19 23:14:31,ft10,6000,84,-5185.8841,1971,-5103.465,116312.076246,2.08553,0.048611,inf,0,-1
