run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
1,2026-05-26 20:49:32,5x5,a2c,1,40,89,0.555
1,2026-05-26 20:49:32,5x5,a2c,2,41,94,0.5415
1,2026-05-26 20:49:32,5x5,a2c,3,39,84,0.5692
1,2026-05-26 20:49:32,5x5,a2c,4,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,5,36,69,0.6167
1,2026-05-26 20:49:32,5x5,a2c,6,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,7,37,74,0.6
1,2026-05-26 20:49:32,5x5,a2c,8,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,9,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,10,38,79,0.5842
1,2026-05-26 20:49:32,5x5,a2c,11,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,12,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,13,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,14,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,15,39,84,0.5692
1,2026-05-26 20:49:32,5x5,a2c,16,34,59,0.6529
1,2026-05-26 20:49:32,5x5,a2c,17,37,74,0.6
1,2026-05-26 20:49:32,5x5,a2c,18,35,64,0.6343
1,2026-05-26 20:49:32,5x5,a2c,19,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,20,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,21,39,84,0.5692
1,2026-05-26 20:49:32,5x5,a2c,22,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,23,37,74,0.6
1,2026-05-26 20:49:32,5x5,a2c,24,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,25,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,26,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,27,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,28,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,29,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c,30,33,54,0.6727
1,2026-05-26 20:49:32,5x5,a2c_greedy,1,33,54,0.6727
1,2026-05-26 20:49:32,5x5,spt,1,68,229,0.3265
1,2026-05-26 20:49:32,5x5,lpt,1,67,224,0.3313
1,2026-05-26 20:49:32,5x5,fifo,1,85,314,0.2612
1,2026-05-26 20:49:32,5x5,edd,1,55,164,0.4036
1,2026-05-26 20:49:32,5x5,random,1,63,204,0.3524
1,2026-05-26 20:49:32,5x5,random,2,46,119,0.4826
1,2026-05-26 20:49:32,5x5,random,3,37,74,0.6
1,2026-05-26 20:49:32,5x5,random,4,67,224,0.3313
1,2026-05-26 20:49:32,5x5,random,5,64,209,0.3469
1,2026-05-26 20:49:32,5x5,random,6,46,119,0.4826
1,2026-05-26 20:49:32,5x5,random,7,64,209,0.3469
1,2026-05-26 20:49:32,5x5,random,8,64,209,0.3469
1,2026-05-26 20:49:32,5x5,random,9,58,179,0.3828
1,2026-05-26 20:49:32,5x5,random,10,62,199,0.3581
1,2026-05-26 20:49:32,5x5,random,11,46,119,0.4826
1,2026-05-26 20:49:32,5x5,random,12,51,144,0.4353
1,2026-05-26 20:49:32,5x5,random,13,45,114,0.4933
1,2026-05-26 20:49:32,5x5,random,14,80,289,0.2775
1,2026-05-26 20:49:32,5x5,random,15,39,84,0.5692
1,2026-05-26 20:49:32,5x5,random,16,53,154,0.4189
1,2026-05-26 20:49:32,5x5,random,17,54,159,0.4111
1,2026-05-26 20:49:32,5x5,random,18,43,104,0.5163
1,2026-05-26 20:49:32,5x5,random,19,57,174,0.3895
1,2026-05-26 20:49:32,5x5,random,20,48,129,0.4625
1,2026-05-26 20:49:32,5x5,random,21,58,179,0.3828
1,2026-05-26 20:49:32,5x5,random,22,53,154,0.4189
1,2026-05-26 20:49:32,5x5,random,23,54,159,0.4111
1,2026-05-26 20:49:32,5x5,random,24,59,184,0.3763
1,2026-05-26 20:49:32,5x5,random,25,53,154,0.4189
1,2026-05-26 20:49:32,5x5,random,26,59,184,0.3763
1,2026-05-26 20:49:32,5x5,random,27,43,104,0.5163
1,2026-05-26 20:49:32,5x5,random,28,40,89,0.555
1,2026-05-26 20:49:32,5x5,random,29,69,234,0.3217
1,2026-05-26 20:49:32,5x5,random,30,47,124,0.4723
