run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
1,2026-05-19 01:50:54,ft06,a2c,1,81,289,0.4053
1,2026-05-19 01:50:54,ft06,a2c,2,75,253,0.4378
1,2026-05-19 01:50:54,ft06,a2c,3,77,265,0.4264
1,2026-05-19 01:50:54,ft06,a2c,4,72,235,0.456
1,2026-05-19 01:50:54,ft06,a2c,5,67,205,0.49
1,2026-05-19 01:50:54,ft06,a2c,6,78,271,0.4209
1,2026-05-19 01:50:54,ft06,a2c,7,72,235,0.456
1,2026-05-19 01:50:54,ft06,a2c,8,70,223,0.469
1,2026-05-19 01:50:54,ft06,a2c,9,63,181,0.5212
1,2026-05-19 01:50:54,ft06,a2c,10,78,271,0.4209
1,2026-05-19 01:50:54,ft06,a2c,11,68,211,0.4828
1,2026-05-19 01:50:54,ft06,a2c,12,67,205,0.49
1,2026-05-19 01:50:54,ft06,a2c,13,82,295,0.4004
1,2026-05-19 01:50:54,ft06,a2c,14,67,205,0.49
1,2026-05-19 01:50:54,ft06,a2c,15,77,265,0.4264
1,2026-05-19 01:50:54,ft06,a2c,16,80,283,0.4104
1,2026-05-19 01:50:54,ft06,a2c,17,76,259,0.432
1,2026-05-19 01:50:54,ft06,a2c,18,71,229,0.4624
1,2026-05-19 01:50:54,ft06,a2c,19,79,277,0.4156
1,2026-05-19 01:50:54,ft06,a2c,20,80,283,0.4104
1,2026-05-19 01:50:54,ft06,a2c,21,65,193,0.5051
1,2026-05-19 01:50:54,ft06,a2c,22,72,235,0.456
1,2026-05-19 01:50:54,ft06,a2c,23,67,205,0.49
1,2026-05-19 01:50:54,ft06,a2c,24,80,283,0.4104
1,2026-05-19 01:50:54,ft06,a2c,25,70,223,0.469
1,2026-05-19 01:50:54,ft06,a2c,26,86,319,0.3818
1,2026-05-19 01:50:54,ft06,a2c,27,80,283,0.4104
1,2026-05-19 01:50:54,ft06,a2c,28,86,319,0.3818
1,2026-05-19 01:50:54,ft06,a2c,29,70,223,0.469
1,2026-05-19 01:50:54,ft06,a2c,30,72,235,0.456
1,2026-05-19 01:50:54,ft06,a2c_greedy,1,67,205,0.49
1,2026-05-19 01:50:54,ft06,fifo,1,152,715,0.216
1,2026-05-19 01:50:54,ft06,spt,1,109,457,0.3012
1,2026-05-19 01:50:54,ft06,lpt,1,129,577,0.2545
1,2026-05-19 01:50:54,ft06,edd,1,101,409,0.3251
1,2026-05-19 01:50:54,ft06,random,1,93,361,0.353
1,2026-05-19 01:50:54,ft06,random,2,92,355,0.3569
1,2026-05-19 01:50:54,ft06,random,3,107,445,0.3069
1,2026-05-19 01:50:54,ft06,random,4,101,409,0.3251
1,2026-05-19 01:50:54,ft06,random,5,84,307,0.3909
1,2026-05-19 01:50:54,ft06,random,6,127,565,0.2585
1,2026-05-19 01:50:54,ft06,random,7,104,427,0.3157
1,2026-05-19 01:50:54,ft06,random,8,111,469,0.2958
1,2026-05-19 01:50:54,ft06,random,9,118,511,0.2782
1,2026-05-19 01:50:54,ft06,random,10,108,451,0.304
1,2026-05-19 01:50:54,ft06,random,11,70,223,0.469
1,2026-05-19 01:50:54,ft06,random,12,102,415,0.3219
1,2026-05-19 01:50:54,ft06,random,13,118,511,0.2782
1,2026-05-19 01:50:54,ft06,random,14,92,355,0.3569
1,2026-05-19 01:50:54,ft06,random,15,112,475,0.2932
1,2026-05-19 01:50:54,ft06,random,16,94,367,0.3493
1,2026-05-19 01:50:54,ft06,random,17,98,391,0.335
1,2026-05-19 01:50:54,ft06,random,18,91,349,0.3608
1,2026-05-19 01:50:54,ft06,random,19,79,277,0.4156
1,2026-05-19 01:50:54,ft06,random,20,87,325,0.3774
1,2026-05-19 01:50:54,ft06,random,21,106,439,0.3097
1,2026-05-19 01:50:54,ft06,random,22,81,289,0.4053
1,2026-05-19 01:50:54,ft06,random,23,91,349,0.3608
1,2026-05-19 01:50:54,ft06,random,24,120,523,0.2736
1,2026-05-19 01:50:54,ft06,random,25,104,427,0.3157
1,2026-05-19 01:50:54,ft06,random,26,92,355,0.3569
1,2026-05-19 01:50:54,ft06,random,27,79,277,0.4156
1,2026-05-19 01:50:54,ft06,random,28,98,391,0.335
1,2026-05-19 01:50:54,ft06,random,29,85,313,0.3863
1,2026-05-19 01:50:54,ft06,random,30,115,493,0.2855
2,2026-05-19 01:54:45,ft06,a2c,1,72,235,0.456
2,2026-05-19 01:54:45,ft06,a2c,2,63,181,0.5212
2,2026-05-19 01:54:45,ft06,a2c,3,72,235,0.456
2,2026-05-19 01:54:45,ft06,a2c,4,63,181,0.5212
2,2026-05-19 01:54:45,ft06,a2c,5,67,205,0.49
2,2026-05-19 01:54:45,ft06,a2c,6,69,217,0.4758
2,2026-05-19 01:54:45,ft06,a2c,7,74,247,0.4437
2,2026-05-19 01:54:45,ft06,a2c,8,66,199,0.4975
2,2026-05-19 01:54:45,ft06,a2c,9,68,211,0.4828
2,2026-05-19 01:54:45,ft06,a2c,10,65,193,0.5051
2,2026-05-19 01:54:45,ft06,a2c,11,69,217,0.4758
2,2026-05-19 01:54:45,ft06,a2c,12,67,205,0.49
2,2026-05-19 01:54:45,ft06,a2c,13,63,181,0.5212
2,2026-05-19 01:54:45,ft06,a2c,14,67,205,0.49
2,2026-05-19 01:54:45,ft06,a2c,15,65,193,0.5051
2,2026-05-19 01:54:45,ft06,a2c,16,84,307,0.3909
2,2026-05-19 01:54:45,ft06,a2c,17,66,199,0.4975
2,2026-05-19 01:54:45,ft06,a2c,18,65,193,0.5051
2,2026-05-19 01:54:45,ft06,a2c,19,64,187,0.513
2,2026-05-19 01:54:45,ft06,a2c,20,65,193,0.5051
2,2026-05-19 01:54:45,ft06,a2c,21,63,181,0.5212
2,2026-05-19 01:54:45,ft06,a2c,22,68,211,0.4828
2,2026-05-19 01:54:45,ft06,a2c,23,68,211,0.4828
2,2026-05-19 01:54:45,ft06,a2c,24,69,217,0.4758
2,2026-05-19 01:54:45,ft06,a2c,25,66,199,0.4975
2,2026-05-19 01:54:45,ft06,a2c,26,76,259,0.432
2,2026-05-19 01:54:45,ft06,a2c,27,63,181,0.5212
2,2026-05-19 01:54:45,ft06,a2c,28,72,235,0.456
2,2026-05-19 01:54:45,ft06,a2c,29,68,211,0.4828
2,2026-05-19 01:54:45,ft06,a2c,30,73,241,0.4498
2,2026-05-19 01:54:45,ft06,a2c_greedy,1,63,181,0.5212
2,2026-05-19 01:54:45,ft06,lpt,1,129,577,0.2545
2,2026-05-19 01:54:45,ft06,edd,1,101,409,0.3251
2,2026-05-19 01:54:45,ft06,fifo,1,152,715,0.216
2,2026-05-19 01:54:45,ft06,spt,1,109,457,0.3012
2,2026-05-19 01:54:45,ft06,random,1,93,361,0.353
2,2026-05-19 01:54:45,ft06,random,2,92,355,0.3569
2,2026-05-19 01:54:45,ft06,random,3,107,445,0.3069
2,2026-05-19 01:54:45,ft06,random,4,101,409,0.3251
2,2026-05-19 01:54:45,ft06,random,5,84,307,0.3909
2,2026-05-19 01:54:45,ft06,random,6,127,565,0.2585
2,2026-05-19 01:54:45,ft06,random,7,104,427,0.3157
2,2026-05-19 01:54:45,ft06,random,8,111,469,0.2958
2,2026-05-19 01:54:45,ft06,random,9,118,511,0.2782
2,2026-05-19 01:54:45,ft06,random,10,108,451,0.304
2,2026-05-19 01:54:45,ft06,random,11,70,223,0.469
2,2026-05-19 01:54:45,ft06,random,12,102,415,0.3219
2,2026-05-19 01:54:45,ft06,random,13,118,511,0.2782
2,2026-05-19 01:54:45,ft06,random,14,92,355,0.3569
2,2026-05-19 01:54:45,ft06,random,15,112,475,0.2932
2,2026-05-19 01:54:45,ft06,random,16,94,367,0.3493
2,2026-05-19 01:54:45,ft06,random,17,98,391,0.335
2,2026-05-19 01:54:45,ft06,random,18,91,349,0.3608
2,2026-05-19 01:54:45,ft06,random,19,79,277,0.4156
2,2026-05-19 01:54:45,ft06,random,20,87,325,0.3774
2,2026-05-19 01:54:45,ft06,random,21,106,439,0.3097
2,2026-05-19 01:54:45,ft06,random,22,81,289,0.4053
2,2026-05-19 01:54:45,ft06,random,23,91,349,0.3608
2,2026-05-19 01:54:45,ft06,random,24,120,523,0.2736
2,2026-05-19 01:54:45,ft06,random,25,104,427,0.3157
2,2026-05-19 01:54:45,ft06,random,26,92,355,0.3569
2,2026-05-19 01:54:45,ft06,random,27,79,277,0.4156
2,2026-05-19 01:54:45,ft06,random,28,98,391,0.335
2,2026-05-19 01:54:45,ft06,random,29,85,313,0.3863
2,2026-05-19 01:54:45,ft06,random,30,115,493,0.2855
3,2026-05-19 14:22:15,ft06,a2c,1,72,235,0.456
3,2026-05-19 14:22:15,ft06,a2c,2,63,181,0.5212
3,2026-05-19 14:22:15,ft06,a2c,3,72,235,0.456
3,2026-05-19 14:22:15,ft06,a2c,4,63,181,0.5212
3,2026-05-19 14:22:15,ft06,a2c,5,67,205,0.49
3,2026-05-19 14:22:15,ft06,a2c,6,69,217,0.4758
3,2026-05-19 14:22:15,ft06,a2c,7,74,247,0.4437
3,2026-05-19 14:22:15,ft06,a2c,8,66,199,0.4975
3,2026-05-19 14:22:15,ft06,a2c,9,68,211,0.4828
3,2026-05-19 14:22:15,ft06,a2c,10,65,193,0.5051
3,2026-05-19 14:22:15,ft06,a2c,11,69,217,0.4758
3,2026-05-19 14:22:15,ft06,a2c,12,67,205,0.49
3,2026-05-19 14:22:15,ft06,a2c,13,63,181,0.5212
3,2026-05-19 14:22:15,ft06,a2c,14,67,205,0.49
3,2026-05-19 14:22:15,ft06,a2c,15,65,193,0.5051
3,2026-05-19 14:22:15,ft06,a2c,16,84,307,0.3909
3,2026-05-19 14:22:15,ft06,a2c,17,66,199,0.4975
3,2026-05-19 14:22:15,ft06,a2c,18,65,193,0.5051
3,2026-05-19 14:22:15,ft06,a2c,19,64,187,0.513
3,2026-05-19 14:22:15,ft06,a2c,20,65,193,0.5051
3,2026-05-19 14:22:15,ft06,a2c,21,63,181,0.5212
3,2026-05-19 14:22:15,ft06,a2c,22,68,211,0.4828
3,2026-05-19 14:22:15,ft06,a2c,23,68,211,0.4828
3,2026-05-19 14:22:15,ft06,a2c,24,69,217,0.4758
3,2026-05-19 14:22:15,ft06,a2c,25,66,199,0.4975
3,2026-05-19 14:22:15,ft06,a2c,26,76,259,0.432
3,2026-05-19 14:22:15,ft06,a2c,27,63,181,0.5212
3,2026-05-19 14:22:15,ft06,a2c,28,72,235,0.456
3,2026-05-19 14:22:15,ft06,a2c,29,68,211,0.4828
3,2026-05-19 14:22:15,ft06,a2c,30,73,241,0.4498
3,2026-05-19 14:22:15,ft06,a2c_greedy,1,63,181,0.5212
3,2026-05-19 14:22:15,ft06,lpt,1,129,577,0.2545
3,2026-05-19 14:22:15,ft06,spt,1,109,457,0.3012
3,2026-05-19 14:22:15,ft06,fifo,1,152,715,0.216
3,2026-05-19 14:22:15,ft06,edd,1,101,409,0.3251
