run_id,trained_at,instance,n_episodes,episode,reward,makespan,avg_reward_100,critic_loss,entropy,entropy_coef,best_makespan,is_best,rolling_eval_ms
1,2026-05-26 20:47:08,4x4,3000,1,38.0,25,38.0,294.863632,1.097765,0.049966,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,2,39.75,24,38.875,280.417735,1.09776,0.049933,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,3,11.8333,36,29.8611,72.10433,0.931834,0.0499,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,4,34.3462,26,30.9824,286.688046,1.220337,0.049866,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,5,18.2273,33,28.4314,123.435973,0.985749,0.049833,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,6,14.5588,34,26.1193,55.634974,0.942395,0.049799,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,7,34.8462,26,27.366,253.564147,1.141005,0.049766,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,8,17.3333,36,26.1119,107.121774,1.13361,0.049732,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,9,29.3621,29,26.473,169.442283,1.072326,0.049699,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,10,29.5,30,26.7757,209.948104,1.064971,0.049666,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,11,23.8621,29,26.5108,145.488002,1.043595,0.049633,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,12,35.5,25,27.2599,336.791104,1.2382,0.049599,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,13,44.6087,23,28.5945,353.519657,1.166047,0.049566,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,14,38.0,25,29.2663,350.657536,1.237907,0.049533,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,15,35.2857,28,29.6676,226.983218,1.132911,0.0495,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,16,23.9375,32,29.3094,111.096904,1.003477,0.049466,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,17,-4.5581,43,27.3172,23.455579,0.941857,0.049433,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,18,21.9375,32,27.0184,103.59415,1.035729,0.0494,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,19,6.7368,38,25.9509,41.224296,0.948278,0.049367,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,20,38.0,25,26.5534,204.686581,0.992405,0.049334,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,21,24.5,30,26.4556,110.015985,1.064699,0.049301,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,22,46.0909,22,27.3481,368.250866,1.127966,0.049268,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,23,9.0588,34,26.5529,82.250056,1.053316,0.049235,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,24,13.5588,34,26.0115,81.591278,0.941306,0.049202,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,25,29.0,30,26.131,135.100897,0.991776,0.049169,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,26,20.5588,34,25.9167,89.252669,1.027892,0.049136,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,27,12.2703,37,25.4113,42.871164,1.043355,0.049103,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,28,32.8621,29,25.6774,212.641718,1.150912,0.04907,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,29,14.5588,34,25.294,65.858815,1.01705,0.049037,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,30,11.7703,37,24.8432,45.318054,1.04187,0.049004,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,31,33.7778,27,25.1314,189.019508,1.176577,0.048971,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,32,32.3462,26,25.3569,231.324887,1.165978,0.048938,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,33,30.8621,29,25.5237,164.56427,1.165023,0.048906,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,34,42.25,24,26.0157,278.440625,1.183935,0.048873,inf,0,-1
1,2026-05-26 20:47:08,4x4,3000,35,12.2703,37,25.6229,53.156124,1.176308,0.04884,inf,0,-1
